item_number,name,description,weight,season,keywords,category,image_path,url,quantity
edc7f54b,Exped MegaMat Sleep Pad,R Value 8 Sleep Pad,,"Winter, Spring, Summer, Fall","Winter, Car Camp, ",Sleep,,https://www.expedusa.com/products/megamat-10-cypress-print?_pos=2&_psq=megamat&_ss=e&_v=1.0,2
4ac287cc,Caribiner Survival Tool,"Flashlight, Lighter, Seatbelt Cutter, Whistle, Screwdriver",,"Winter, Spring, Summer, Fall","Light, Fire, Emergency, Tool",Tools,,,1
785fe7fc,Coleman 0 Degree Sleeping Bag,Coleman 0 Degree Sleeping Bag,,"Winter, Fall, Spring","Sleep, Sleeping Bag",Sleep,,,1
64f9ba04,20 Degree Hunting Sleeping Bag,Big fluffy sleeping bag,,"Winter, Spring, Fall",Sleep,Sleep,,,2
bcbfda22,Pomoly Hex Tipi Hot Tent,Hot Tent 2 Person,,"Winter, Spring, Summer, Fall","Hot Tent, Tent",Shelter,,,1
d5fbf3a5,Naturehike Massif Hot Tent with Stove Jack,"4 Season Tent: The Massif solo tent is a hot tent with stove jack, you can use camping stove in the vestibule, and sleep in the inner tent, it will keep warm in cold weather; You can also remove the inner tent and use it as a camping shelter, canopy tent in warm season; It is a multifunctional tent for all season and all weather conditions.",,"Winter, Spring, Summer, Fall","Shelter, Hot Tent",Shelter,,https://www.amazon.com/Naturehike-Massif-Camping-Waterproof-Windproof/dp/B0C4T2B7X4?th=1,1
141f5ca7,OneTigris ROCDOMUS Hot Tent with Stove Jack,"Designed for use with a hammock, as a hot tent, rain tarp or bushcraft shelter with a front porch for 4-season use, compatible with all general sized cots & tent stoves, a stove jack included for convenient use | No tent poles or stove pipes inclued",,"Winter, Spring, Summer, Fall","Shelter, Hot Tent","Shelter, Hot Tent",,https://www.amazon.com/OneTigris-ROCDOMUS-Versatile-Lightweight-Waterproof/dp/B09MHTGXGN/ref=sr_1_28?crid=DLBD2B2ZKK2V&dib=eyJ2IjoiMSJ9.7TrhZxvqrajPtImHJItf7_i6quhTpacxgVwGMj00DhSCHCd7k5V1avsbAraYT8VI3dqsjLWknAO7-WP0XjYxaNZGwfs_tNJzI3G7ZCofzuj_xBWxYJkhV6_y_jHDnHE-vm7-xXjbCf9HpRe6fvBXbpyLgYL3Pv5r61VRxRQODGXxCw4Y0xSwD2I9RpFTisYgUV2K73dp9gC77H46epfWhSlm_T1c370WbwR5Gr7S7_lMXx49BfC1C7kGwujTvZYmcWDgCKeaPtRVx_LggoK3RDU1SDMf1SgeXHs81sXm8fO0Qax44QUtgpS2t-nfd-JQD1ttruZyn03jIxYGUKKDHUWejQ97GJ7R7_3zDMNj2tg.AwVnoeDM8LtY4DRhBCtF_N5TMdhfJ0IOUfJEW-ZKCfM&dib_tag=se&keywords=onetigris%2Btent&qid=1735269391&s=sporting-goods&sprefix=onetigris%2Bten%2Csporting%2C190&sr=1-28&th=1,1
956aa0ce,OneTigris Trecking Pole Tent,2 Person (barely) trecking pole or freestanding with tie down points,,Summer,"Shelter, Tent",Shelter,,,1
21559ae7,"Naturehike GreenWild Camping Cot, Ultralight Folding Backpacking Cot",Camp cot,,"Winter, Spring, Summer, Fall","Sleep, Cot,, Ultralight",Sleep,,https://www.amazon.com/dp/B099ZBH4XG/ref=dp_iou_view_item?ie=UTF8&th=1,1
0938042e,Teton Sports Camp Cot,Camp Cot,,"Winter, Spring, Summer, Fall","Sleep, Cot, Heavy",Sleep,,https://www.sportsmans.com/camping-gear-supplies/sleeping-gear/cots/teton-sports-adventurer-with-pivot-arm-camp-cot/p/1320296,1
0a639f35,Big Agnes Insulated Q Core Sleeping Pad,"Inflatable sleeping pad, ultralight",,"Spring, Summer, Fall","Sleep, Sleep Pad",Sleep,,https://www.rei.com/product/169936/big-agnes-insulated-q-core-deluxe-sleeping-pad?msockid=25821a7f2275667f15cd09a323cf6799,1
116f2e1a,Kelty Mistral 0 Degree Regular Mummy Sleeping Bag,0 Degree mummy bag,,"Winter, Fall, Spring","Sleeping Bag, Sleep, Mummy Bag",Sleep,,https://www.sportsmans.com/camping-gear-supplies/sleeping-gear/sleeping-bags/kelty-mistral-0-degree-regular-mummy-sleeping-bag-redorange/p/1540662,1
654cac1d,ENO Ember Underquilt,Underquilt for hammock,,"Sprint, Summer, Fall","Sleep, Hammock","Sleep, Hammock",,https://eaglesnestoutfittersinc.com/products/ember-underquilt,1
11e3c11e,ENO Spark Top Quilt,Ultralight camp quilt,,"Winter, Spring, Summer, Fall","Sleep, Hammock, Blanket, Camp Quilt","Sleep, Hammock",,https://eaglesnestoutfittersinc.com/collections/hammock-straps-accessories/products/spark-camp-quilt,1
